Ticker,Nome,Setor,Preço Atual,P/L (P/E),P/VP (P/B),Div. Yield (%),Market Cap,ROE (%),ROIC (%),Data IPO,Lucro >0 (4A)?,Receita Sobe?
ADNT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADOC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADOCR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADOCW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADPT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADRE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADSK,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADTN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADTX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADUS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADVM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADVWW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACMR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACNB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACND,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACND.U,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACND.WS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACOR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACRE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACRS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACRX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACST,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACTC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACTCU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACTCW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACTG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACWI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ACWX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADAP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADBE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADCT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADERU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AESE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEY,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEYE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEZS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFBI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFGB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFGC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFGD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFGE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFIB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFIN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFINO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFINP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFMD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFRM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AFYA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGBA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGBAR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADXN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ADXS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEACU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEFC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEGN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEHL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEHR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEIS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
